DATE,TOTAL,NSW_TOTAL,VIC_TOTAL,QLD_TOTAL,SA_TOTAL,WA_TOTAL,TAS_TOTAL,NT_TOTAL
1979-06-01,0.6051212938005395,260.0,193.8,387.8,50.4,91.4,28.4,19.4
1979-09-01,0.7459568733153636,272.4,173.5,433.4,53.6,106.5,21.1,34.0
1979-12-01,0.5853548966756512,326.5,211.3,288.8,61.6,85.7,21.8,25.6
1980-03-01,0.20507637017070968,286.3,190.5,202.8,58.8,70.5,30.1,10.9
1980-06-01,0.5265049415992813,239.0,185.2,388.5,40.3,86.2,22.6,32.9
1980-09-01,0.8144654088050314,250.9,186.4,444.2,60.7,113.8,18.6,49.4
1980-12-01,0.34591194968553474,268.2,218.2,227.0,64.4,88.3,22.0,27.2
1981-03-01,0.010332434860736983,212.6,238.7,158.0,48.9,75.5,28.9,4.0
1981-06-01,0.4415992812219227,235.7,199.1,319.7,54.5,94.3,26.4,28.4
1981-09-01,0.5923180592991915,207.6,177.1,427.8,51.9,101.3,22.6,36.1
1981-12-01,0.4101527403414198,204.4,208.1,344.7,59.7,86.5,23.7,16.3
1982-03-01,0.5137017070979337,238.9,270.7,285.6,75.3,81.0,32.1,4.2
1982-06-01,0.7879604672057501,236.6,218.4,434.7,65.5,99.3,28.2,29.4
1982-09-01,0.9950584007187779,259.4,232.4,450.0,86.8,111.5,24.1,43.2
1982-12-01,0.39914645103324364,236.2,228.8,261.0,78.7,89.4,28.6,21.2
1983-03-01,0.22394429469901178,218.7,232.6,240.5,66.1,70.6,31.5,3.2
1983-06-01,0.19654088050314478,185.2,146.6,354.5,44.3,76.4,25.2,19.7
1983-09-01,0.5489667565139262,195.8,159.0,428.0,61.0,100.6,18.0,45.7
1983-12-01,0.15453728661275834,199.6,175.2,293.8,61.2,64.1,17.6,20.2
1984-06-01,0.21608265947888605,171.9,153.8,380.4,46.1,61.5,20.8,23.1
1984-09-01,0.290206648697215,167.2,156.0,379.5,57.7,84.3,17.1,29.3
1985-03-01,0.0,176.3,192.3,255.8,58.5,52.1,22.7,5.0
1985-06-01,0.29582210242587603,157.6,146.1,420.1,60.0,72.7,23.1,15.9
1985-09-01,0.25336927223719674,166.1,144.3,389.7,60.5,74.2,16.3,25.4
1985-12-01,0.08805031446540901,189.8,180.6,267.8,61.4,67.4,18.7,15.4
1986-03-01,0.08984725965858043,200.7,184.0,277.2,62.9,47.9,24.9,4.5
1986-06-01,0.26549865229110536,188.5,140.7,392.9,49.0,63.7,25.6,19.1
1986-09-01,0.4292452830188682,191.0,139.9,444.8,59.5,68.2,18.9,30.2
1986-12-01,0.42273135669362105,212.6,185.3,367.1,73.1,71.9,22.8,17.7
1987-03-01,0.17160826594788858,208.5,184.8,285.3,67.8,58.9,30.1,3.1
1987-06-01,0.38252470799640603,206.5,156.1,385.9,63.8,69.8,32.1,17.5
1987-09-01,0.5902964959568733,245.1,143.3,438.8,61.7,76.1,23.8,35.7
1987-12-01,0.6156783468104221,271.1,180.5,377.5,82.4,79.9,24.2,19.5
1988-03-01,0.4128481581311769,265.6,198.0,305.0,80.9,59.8,32.0,3.3
1988-06-01,0.28975741239892194,207.1,164.8,357.4,57.7,61.4,25.2,17.0
1988-09-01,0.48742138364779874,228.0,159.1,406.8,54.2,69.1,19.1,40.4
1988-12-01,0.4907906558849957,250.8,195.2,346.6,79.0,67.6,22.5,16.7
1989-03-01,0.24213836477987427,236.4,201.0,279.9,68.9,52.7,25.1,2.9
1989-06-01,0.4442946990116803,237.0,194.1,359.9,57.3,63.5,30.5,14.8
1989-09-01,0.7338274932614555,251.2,199.4,428.7,74.8,76.7,26.2,29.7
1989-12-01,0.7650494159928121,295.8,207.4,401.4,73.2,78.0,24.7,17.9
1990-03-01,0.6363432165318956,308.6,200.7,359.0,73.7,63.2,32.6,3.4
1990-06-01,0.5235849056603774,250.4,191.3,364.3,63.5,67.9,33.5,21.9
1990-09-01,0.8443396226415096,261.6,212.2,480.3,63.1,68.7,23.3,25.9
1990-12-01,0.9788858939802334,312.3,246.0,459.7,66.9,73.3,22.6,14.0
1991-03-01,0.3867924528301887,231.3,237.9,300.5,66.4,59.3,35.7,1.7
1991-06-01,0.686208445642408,258.3,217.9,434.1,56.8,52.2,30.3,14.6
1991-09-01,0.7517969451931719,265.1,164.5,509.6,52.2,60.9,21.6,25.7
1991-12-01,0.7513477088948788,273.1,207.0,440.8,74.3,69.0,23.7,6.5
1992-03-01,0.5231356693620843,276.1,236.6,322.7,66.8,57.8,30.2,2.2
1992-06-01,0.653863432165319,286.7,190.6,407.3,59.8,58.4,29.2,18.4
1992-09-01,0.7632524707996406,283.0,172.2,475.4,57.2,71.9,18.2,21.6
1992-12-01,0.7313566936208442,263.4,205.2,435.7,77.0,80.2,21.8,5.2
1993-03-01,0.4856244384546273,250.5,213.5,340.2,70.2,67.8,31.1,2.1
1993-06-01,0.6846361185983825,275.8,187.4,461.9,54.2,51.9,27.9,3.3
1993-09-01,0.7531446540880502,270.1,166.7,511.4,47.3,76.4,21.1,6.7
1993-12-01,0.6424079065588502,252.9,195.2,440.2,56.3,81.2,25.2,2.4
1994-03-01,0.39690026954177915,243.8,217.6,342.6,52.7,59.4,27.7,0.5
1994-06-01,0.45372866127583134,241.7,192.5,406.4,42.7,54.1,27.8,4.3
1994-09-01,0.6626235399820306,290.8,169.4,484.3,37.3,56.5,18.8,5.3
1994-12-01,0.7686433063791553,294.2,210.2,433.0,68.3,74.2,27.6,2.2
1995-03-01,0.2886343216531895,266.3,194.8,281.1,57.0,62.8,33.8,0.2
1995-06-01,0.4961814914645104,254.2,208.3,398.7,43.5,50.6,30.9,2.2
1995-09-01,0.5309973045822103,242.7,200.7,447.0,36.9,49.5,18.0,9.0
1995-12-01,0.47439353099730486,229.5,241.7,351.2,58.3,68.4,24.4,5.2
1996-03-01,0.4755166217430369,273.6,262.8,310.5,50.6,53.6,27.6,0.6
