DATE,TOTAL,NSW_TOTAL,VIC_TOTAL,QLD_TOTAL,SA_TOTAL,WA_TOTAL,TAS_TOTAL,DATE_NUMERIC,YEAR,MONTH
1998-12-01,994.4,198.0,229.6,440.3,35.4,66.6,22.4,729724,1998,12
1992-03-01,1000.4,276.1,236.6,322.7,66.8,57.8,30.2,727258,1992,3
2021-09-01,886.9,177.6,105.1,536.4,20.8,25.3,21.7,738034,2021,9
1992-06-01,1058.6,286.7,190.6,407.3,59.8,58.4,29.2,727350,1992,6
1988-03-01,951.3,265.6,198.0,305.0,80.9,59.8,32.0,725797,1988,3
2017-12-01,962.2,210.3,144.4,453.1,70.1,55.7,28.6,736664,2017,12
2004-06-01,1016.3,203.0,160.8,535.1,41.6,46.0,29.5,731733,2004,6
2016-09-01,901.1,175.4,118.9,485.0,55.1,50.4,16.3,736208,2016,9
1990-03-01,1050.8,308.6,200.7,359.0,73.7,63.2,32.6,726527,1990,3
1979-12-01,1028.1,326.5,211.3,288.8,61.6,85.7,21.8,722784,1979,12
1997-03-01,987.3,268.0,240.6,350.3,45.8,49.7,32.7,729084,1997,3
2012-12-01,1099.2,237.1,151.3,589.3,51.1,54.3,16.2,734838,2012,12
2024-03-01,929.6,197.6,151.3,470.4,35.9,47.2,27.3,738946,2024,3
1986-06-01,885.7,188.5,140.7,392.9,49.0,63.7,25.6,725158,1986,6
1980-09-01,1130.1,250.9,186.4,444.2,60.7,113.8,18.6,723059,1980,9
2008-12-01,1023.3,226.3,135.9,535.6,40.7,66.7,18.1,733377,2008,12
1987-06-01,937.8,206.5,156.1,385.9,63.8,69.8,32.1,725523,1987,6
1996-06-01,1026.4,278.1,241.7,397.1,34.6,46.5,25.4,728811,1996,6
1997-06-01,1040.2,272.8,215.1,433.0,46.5,39.9,27.4,729176,1997,6
1982-06-01,1118.3,236.6,218.4,434.7,65.5,99.3,28.2,723697,1982,6
2023-09-01,971.1,198.1,138.7,535.1,26.8,45.5,27.0,738764,2023,9
2023-06-01,898.0,195.0,127.2,484.8,22.9,44.9,23.3,738672,2023,6
1993-03-01,983.7,250.5,213.5,340.2,70.2,67.8,31.1,727623,1993,3
1982-09-01,1210.5,259.4,232.4,450.0,86.8,111.5,24.1,723789,1982,9
2014-12-01,1212.7,267.5,225.5,573.6,60.5,66.6,18.9,735568,2014,12
2016-12-01,995.5,214.0,137.6,508.6,55.9,58.9,20.5,736299,2016,12
1997-09-01,1070.8,259.2,213.5,486.2,36.1,46.0,21.1,729268,1997,9
2008-06-01,1073.9,233.1,139.8,600.3,32.1,50.2,18.5,733194,2008,6
2006-12-01,1162.6,230.4,183.9,618.3,50.0,53.8,26.0,732646,2006,12
1996-12-01,986.1,272.6,231.4,342.4,47.5,60.2,29.3,728994,1996,12
2008-09-01,1046.1,233.6,117.1,601.2,27.7,48.9,17.6,733286,2008,9
1995-09-01,1003.9,242.7,200.7,447.0,36.9,49.5,18.0,728537,1995,9
2022-12-01,847.2,178.0,114.1,461.8,21.4,49.4,22.4,738490,2022,12
1980-12-01,921.5,268.2,218.2,227.0,64.4,88.3,22.0,723150,1980,12
1986-12-01,955.7,212.6,185.3,367.1,73.1,71.9,22.8,725341,1986,12
1981-09-01,1031.2,207.6,177.1,427.8,51.9,101.3,22.6,723424,1981,9
