	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Total (State) ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  New South Wales ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Victoria ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Queensland ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  South Australia ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Western Australia ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Tasmania ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Northern Territory ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Australian Capital Territory ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Total (State) ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  New South Wales ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Victoria ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Queensland ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  South Australia ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Western Australia ;	Number Slaughtered ;  BULLS, BULLOCKS AND STEERS ;  Tasmania ;
Unit	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000
Series Type	Original	Original	Original	Original	Original	Original	Original	Original	Original	Seasonally Adjusted	Seasonally Adjusted	Seasonally Adjusted	Seasonally Adjusted	Seasonally Adjusted	Seasonally Adjusted	Seasonally Adjusted
Data Type	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW	FLOW
Frequency	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter	Quarter
Collection Month	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Series Start	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976	Sep-1976
Series End	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024	Dec-2024
No. Obs	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194
Series ID	A117734509X	A117734537J	A117734511K	A117734519C	A117734539L	A117734497A	A117734529J	A117734513R	A117734521R	A117734515V	A117734531V	A117734523V	A117734503K	A117734499F	A117734505R	A117734517X
Sep-1976	1223.5	338.4	299.4	362.5	58.5	126.5	31.8		6.4							
Dec-1976	1098.7	337.7	287.2	265.5	59.8	111.2	31.5		5.8							
Mar-1977	1149.7	373.1	298.2	262.9	69.1	101.5	38.6		6.4							
Jun-1977	1259.9	397.0	294.0	322.7	80.2	115.1	43.0		7.7							
Sep-1977	1365.4	425.4	335.7	380.3	74.2	103.8	39.0		7.0							
Dec-1977	1298.9	399.3	357.6	325.6	71.7	99.5	38.4		6.9							
Mar-1978	1191.8	357.6	347.0	269.6	72.6	94.6	42.7		7.8							
Jun-1978	1346.6	359.5	342.6	420.5	61.1	113.5	41.0		8.5							
Sep-1978	1326.2	374.3	280.4	425.3	64.1	113.7	31.9	28.5	8.0							
Dec-1978	1345.5	395.6	304.0	384.1	86.7	116.8	32.3	18.0	8.0							
Mar-1979	1254.7	394.9	303.6	347.2	77.6	86.3	31.0	6.9	7.3							
