Unnamed: 0,state_total,NSW_total,VIC_total,QLD_total,SA_total,WA_total,TAS_total,ACT_total,DATE_NUMERIC,YEAR,MONTH
1997-06-01,1040.2,272.8,215.1,433.0,46.5,39.9,27.4,0.0,729176,1997,6
2004-03-01,950.4,208.7,170.5,442.0,48.1,50.6,30.3,0.0,731641,2004,3
2017-09-01,1037.1,208.5,140.1,550.6,67.1,48.3,22.5,0.0,736573,2017,9
1985-09-01,880.3,166.1,144.3,389.7,60.5,74.2,16.3,3.9,724885,1985,9
2010-12-01,1021.9,220.7,156.7,521.3,52.1,49.3,21.9,0.0,734107,2010,12
1987-06-01,937.8,206.5,156.1,385.9,63.8,69.8,32.1,6.0,725523,1987,6
2022-09-01,875.4,184.4,113.9,492.1,22.3,42.7,20.1,0.0,738399,2022,9
2002-03-01,884.8,206.4,171.1,397.7,51.6,34.6,23.2,0.0,730910,2002,3
1990-09-01,1143.4,261.6,212.2,480.3,63.1,68.7,23.3,8.2,726711,1990,9
1995-09-01,1003.9,242.7,200.7,447.0,36.9,49.5,18.0,0.0,728537,1995,9
2008-06-01,1073.9,233.1,139.8,600.3,32.1,50.2,18.5,0.0,733194,2008,6
1984-03-01,755.1,181.3,189.2,260.3,42.4,47.4,24.0,5.9,724336,1984,3
2019-12-01,956.9,209.0,160.5,484.8,29.5,45.3,27.9,0.0,737394,2019,12
1990-12-01,1203.3,312.3,246.0,459.7,66.9,73.3,22.6,8.6,726802,1990,12
1989-09-01,1094.2,251.2,199.4,428.7,74.8,76.7,26.2,7.4,726346,1989,9
2017-12-01,962.2,210.3,144.4,453.1,70.1,55.7,28.6,0.0,736664,2017,12
1986-06-01,885.7,188.5,140.7,392.9,49.0,63.7,25.6,6.3,725158,1986,6
1984-09-01,896.7,167.2,156.0,379.5,57.7,84.3,17.1,5.6,724520,1984,9
2015-12-01,1141.1,229.1,179.3,580.2,60.6,64.8,27.2,0.0,735933,2015,12
1979-12-01,1028.1,326.5,211.3,288.8,61.6,85.7,21.8,6.8,722784,1979,12
1987-03-01,843.9,208.5,184.8,285.3,67.8,58.9,30.1,5.3,725431,1987,3
2018-12-01,960.1,231.9,153.6,467.5,33.6,45.5,28.1,0.0,737029,2018,12
2024-06-01,988.6,192.6,154.3,536.2,36.1,46.6,22.8,0.0,739038,2024,6
2023-03-01,888.4,199.3,120.6,477.3,22.2,44.5,24.5,0.0,738580,2023,3
2001-03-01,987.9,197.3,170.3,501.0,50.4,39.8,28.9,0.0,730545,2001,3
1983-06-01,855.0,185.2,146.6,354.5,44.3,76.4,25.2,3.0,724062,1983,6
2007-09-01,1033.2,221.1,124.4,584.2,38.1,48.1,17.3,0.0,732920,2007,9
1998-03-01,958.3,234.5,248.6,356.9,46.7,46.0,25.4,0.0,729449,1998,3
